Position,Company,Location,URL
[NAVER Cloud] 시스템 엔지니어,네이버클라우드,성남 분당구,https://kr.indeed.com/rc/clk?jk=75dc525f15f4c03a&fccid=54815931228b42c0&vjs=3
한국필립모리스 2022년 상반기 수시,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/rc/clk?jk=44e9ac7f0f94e784&fccid=fb7e65f74b012d18&vjs=3
보안 검수/분석 담당자 모집,넷마블,서울 구로구,https://kr.indeed.com/rc/clk?jk=7202a4c549df9ccf&fccid=e696d83fde5c0f20&vjs=3
라인프렌즈 2022년 각 부문 수시,라인프렌즈,서울 용산구,https://kr.indeed.com/rc/clk?jk=1015284880e2ff62&fccid=b6f22bcb6078a2c4&vjs=3
NAVER  LINE 서비스 플랫폼 운영,엔아이티서비스,성남 분당구,https://kr.indeed.com/rc/clk?jk=ce842726ea136440&fccid=d389f1042b660837&vjs=3
Software Engineer,GE Healthcare,경기도 성남,https://kr.indeed.com/rc/clk?jk=13b675c6f73ff110&fccid=65b5f2aba4dbd31f&vjs=3
업계 최고 대우로 파이썬(Python) 개발자,쿼드마이너,서울 강남구,https://kr.indeed.com/rc/clk?jk=42a26d7138ea5864&fccid=4689e54333c19a95&vjs=3
자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),마이퍼스트에셋자산운용,대한민국,https://kr.indeed.com/rc/clk?jk=872035f47cfd4850&fccid=e26f0428e52f0752&vjs=3
[데이터/마케팅/IT개발] 일반직(경력) 상시,한국평가데이터,서울 영등포구,https://kr.indeed.com/rc/clk?jk=15c7509b65eaa6e6&fccid=7936dc2e7d11e91f&vjs=3
BI팀 채용,GC녹십자지놈,용인 기흥구,https://kr.indeed.com/rc/clk?jk=4721ceaf47437a8b&fccid=d841ec1b32c04ab7&vjs=3
Machine Learning Researcher (Computer Vision),BOEING,서울,https://kr.indeed.com/rc/clk?jk=5086b5e5634ebf05&fccid=edae4285faf6c2f0&vjs=3
분석모델,KB데이타시스템,서울 마포구,https://kr.indeed.com/rc/clk?jk=587652244a69c3d1&fccid=fe227fbd2afb9580&vjs=3
[데이터 프로덕트] 실험(A/B Test) 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=cdfd2d3169fac6f0&fccid=32b9af632cf3b9f9&vjs=3
Software Developer for MBUX Navigation Online Services,Mercedes-Benz Korea Limited,서울,https://kr.indeed.com/rc/clk?jk=703729b8f457fc42&fccid=b25343f021fb51d7&vjs=3
연구소 R&D 인프라 운영,안랩,성남 분당구,https://kr.indeed.com/rc/clk?jk=5fe21ceab5a3ce0b&fccid=0b88b2af6686dd2b&vjs=3
[한국전기안전공사] 2022년 하반기 경력직,한국전기안전공사,전라북도 완주,https://kr.indeed.com/rc/clk?jk=1e81440aa0ed276a&fccid=ba35eb7d48548b2d&vjs=3
[광고 추천] 데이터 사이언스  머신러닝 전문가 영입,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=62207843f8aee746&fccid=32b9af632cf3b9f9&vjs=3
[인재풀] 아티스트 ART,Electronic Arts,서울,https://kr.indeed.com/rc/clk?jk=aac8e9355cb855ac&fccid=617d7f961cfcf54a&vjs=3
추천 통계분석/데이터사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=bfe0f5ac4f32ec89&fccid=32b9af632cf3b9f9&vjs=3
시스템엔지니어 신입/경력 정규직 [전문연구요원 지원 가능],루미르,용인 수지구,https://kr.indeed.com/rc/clk?jk=8a0f5a8857c12e2e&fccid=6d6d49fea6335c41&vjs=3
[선행기술원] Virtual검증 _ 검증/해석[책임연구원],현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=0d571c647c477c68&fccid=980d6ecc399a3373&vjs=3
자율 주행  로봇 SW 개발자,에바,성남 수정구,https://kr.indeed.com/rc/clk?jk=e30fe92d72ceb17c&fccid=5cc87f5890bd7170&vjs=3
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/rc/clk?jk=55a19c92c845685e&fccid=74d05cee5b52f133&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=78e99625e5de3c95&fccid=e34932b8232a173b&vjs=3
외국계 글로벌 - 물류 컨설팅 전문가,레퍼첵앤커리어,서울 영등포구,https://kr.indeed.com/rc/clk?jk=af44b5adefdd16f3&fccid=e597d45e0720074f&vjs=3
Quantitative Research Intern,WorldQuant,서울,https://kr.indeed.com/rc/clk?jk=679e7e7466c71a3e&fccid=08487f979320ebae&vjs=3
개발자(PHP/Python/My SQL 등),펫이지,서울 종로구,https://kr.indeed.com/rc/clk?jk=e2a0a47c157e5c65&fccid=156bb0350f6796cc&vjs=3
신입/경력 개발자 (프론트엔드 2명  백엔드 2명  퍼블리셔 2명),아이디벨,경기도 하남,https://kr.indeed.com/rc/clk?jk=c7c7fad88cc53436&fccid=4561e46cc3f91920&vjs=3
SCM혁신 신입/경력 사원 공개채용,유한킴벌리,서울 신천동,https://kr.indeed.com/rc/clk?jk=c759fe51adbc3ea1&fccid=b946e043e6327409&vjs=3
C·C++  Python 외 신입/경력 정규직  인턴,골드엔에프티,성남 분당구,https://kr.indeed.com/rc/clk?jk=6d7d21ddb25ec3e1&fccid=8e714aa9ea8ab527&vjs=3
리서치(사회조사/마케팅/시장조사) 연구원 신입/경력 정규직,리서치앤유,서울 성동구,https://kr.indeed.com/rc/clk?jk=de6547a5f2894d76&fccid=7c977224f6d09f7d&vjs=3
악성코드 및 엔드포인트 보안 엔지니어 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=0e26e1dda4b9970b&fccid=32b9af632cf3b9f9&vjs=3
